gender,age,school_type,distance_from_home,parental_education,family_support,internet_access,study_hours,attendance,absences,previous_grades,sleep_hours,extracurricular,tutoring,motivation_level,performance
Female,15,Public,Near,High School,Medium,Yes,1.8,71.6,5,50.4,6.9,Yes,No,Low,Low
Female,18,Public,Moderate,High School,Medium,Yes,2.6,61.6,0,65.7,7.5,No,Yes,Medium,Medium
Male,15,Public,Far,College,Low,No,7.2,88.4,7,59.9,5.6,No,Yes,Low,Medium
Male,18,Private,Near,High School,Medium,Yes,2.7,83.9,2,82.0,8.2,No,No,Medium,Medium
Female,16,Public,Near,High School,Medium,Yes,1.4,66.6,0,34.4,7.6,Yes,No,Low,Low
Female,16,Public,Near,Postgraduate,Medium,Yes,8.7,71.2,1,46.4,5.1,Yes,Yes,Medium,Medium
Female,16,Private,Near,College,High,Yes,2.2,69.7,7,66.4,7.0,Yes,No,High,Medium
Female,16,Public,Moderate,None,Medium,Yes,5.4,71.3,11,91.3,7.5,No,Yes,High,Medium
Male,15,Private,Moderate,High School,High,Yes,5.1,76.1,6,71.4,6.3,No,Yes,Low,Medium
Male,17,Private,Near,Postgraduate,Medium,Yes,0.0,76.8,7,47.7,5.2,No,No,Medium,Low
Female,15,Private,Near,High School,Medium,Yes,4.5,72.2,11,50.0,7.3,Yes,No,Medium,Medium
Female,18,Public,Near,None,Medium,Yes,5.9,70.9,0,93.1,9.7,Yes,No,Low,Medium
Female,15,Public,Far,College,Low,No,5.7,77.3,8,58.7,6.5,No,No,Medium,Medium
Female,15,Private,Near,College,Low,No,6.8,82.0,6,53.9,8.9,Yes,No,Medium,Medium
Female,18,Public,Far,College,Medium,Yes,4.2,76.2,8,90.2,6.1,No,Yes,Medium,Medium
Male,16,Public,Moderate,None,High,Yes,6.4,93.9,4,83.2,7.3,Yes,No,High,Medium
Male,16,Private,Near,High School,High,No,3.6,86.1,3,87.1,7.9,Yes,Yes,Low,Medium
Male,16,Private,Far,College,Low,Yes,2.2,60.9,7,53.7,7.0,No,Yes,Low,Low
Female,17,Public,Moderate,High School,High,No,2.4,86.3,13,45.1,6.6,Yes,No,Medium,Low
Male,18,Public,Moderate,College,High,Yes,2.1,87.3,9,70.0,7.9,Yes,Yes,High,Medium
Male,18,Public,Far,College,Medium,No,7.0,74.8,4,73.0,9.3,No,No,High,Medium
Female,15,Private,Near,High School,High,Yes,2.0,62.1,1,73.5,7.4,No,Yes,Low,Low
Male,17,Private,Near,Postgraduate,Medium,Yes,5.5,80.1,0,90.2,6.4,No,Yes,Medium,Medium
Female,16,Public,Moderate,College,Medium,Yes,4.5,79.9,11,42.0,6.8,No,Yes,Medium,Low
Male,17,Public,Near,College,Medium,Yes,4.8,66.5,2,80.9,10.0,Yes,No,Medium,Medium
Male,18,Private,Near,None,Medium,Yes,7.7,62.6,5,51.6,7.2,Yes,Yes,Medium,Medium
Female,18,Public,Near,High School,Medium,Yes,4.1,78.9,11,80.8,6.3,Yes,No,High,Medium
Male,15,Public,Near,College,Medium,Yes,6.2,77.2,0,60.9,5.6,Yes,No,Low,Medium
Male,15,Private,Moderate,High School,High,Yes,5.1,75.0,12,55.8,4.8,Yes,Yes,Medium,Medium
Female,18,Public,Near,Postgraduate,High,Yes,4.7,79.0,5,58.9,7.4,No,No,High,High
Female,16,Public,Moderate,High School,High,Yes,9.6,66.8,1,46.3,7.8,Yes,No,High,Medium
Male,16,Public,Moderate,College,High,Yes,2.1,74.8,5,68.6,6.5,No,No,Medium,Low
Female,17,Public,Near,High School,High,Yes,7.6,86.4,3,56.4,7.0,Yes,Yes,Medium,Medium
Male,18,Private,Near,College,Low,Yes,6.3,75.8,8,79.8,,Yes,Yes,Medium,Medium
Male,18,Public,Moderate,High School,Medium,Yes,4.0,59.9,3,77.6,7.2,Yes,Yes,Medium,Medium
Female,16,Private,Near,High School,Medium,Yes,8.3,74.3,0,93.3,7.6,No,No,High,High
Female,16,Public,Moderate,High School,High,Yes,1.3,67.2,5,73.5,6.4,Yes,No,High,Medium
Female,18,Public,Far,Postgraduate,Medium,Yes,4.0,83.2,1,75.8,9.0,No,No,High,Medium
Female,15,Public,Near,None,High,Yes,2.6,83.8,7,89.0,6.0,No,No,Medium,Medium
Female,18,Public,Moderate,Postgraduate,Low,Yes,5.8,60.1,1,58.6,7.3,Yes,Yes,High,Medium
Male,18,Public,Moderate,College,Medium,No,2.8,89.1,4,45.7,8.0,Yes,No,Low,Low
Male,16,Public,Near,High School,High,Yes,5.9,66.7,7,71.0,6.9,No,No,Low,Medium
Female,16,Public,Far,College,Low,Yes,4.6,98.7,5,46.7,6.8,Yes,No,Medium,Medium
Male,15,Public,Far,None,Medium,Yes,4.0,79.4,7,100.0,5.3,Yes,Yes,Medium,Medium
Male,15,Private,Near,Postgraduate,Medium,Yes,5.8,65.0,9,89.8,8.6,No,No,High,Medium
Male,17,Private,Moderate,College,Medium,Yes,4.5,66.3,1,100.0,6.8,No,No,Medium,Medium
Male,18,Private,Far,High School,High,Yes,2.8,84.2,6,68.9,7.6,Yes,Yes,Medium,Medium
Female,16,Public,Far,High School,Medium,No,10.6,75.3,0,76.3,7.8,Yes,No,Medium,High
Female,15,Public,Moderate,None,Medium,No,4.0,78.8,7,61.1,6.2,Yes,No,High,Medium
Female,17,Private,Moderate,Postgraduate,Low,No,0.6,99.4,5,81.2,6.8,Yes,No,Medium,Medium
Male,17,Public,Near,None,High,Yes,3.3,71.6,2,49.8,8.6,Yes,Yes,Low,Low
Male,16,Public,Far,College,Medium,Yes,2.5,80.7,7,30.0,5.7,Yes,Yes,High,Low
Male,16,Private,Near,High School,Medium,Yes,6.7,97.0,11,56.1,9.6,Yes,Yes,Medium,Medium
Male,17,Private,Moderate,Postgraduate,High,No,5.6,83.2,4,46.2,6.1,No,No,Low,Medium
Female,15,Public,Near,High School,Medium,Yes,5.8,60.7,2,90.2,5.6,No,No,Medium,Medium
Female,17,Public,Near,College,High,Yes,4.3,86.1,7,95.2,7.2,No,No,Low,Medium
Female,18,Private,Near,College,Medium,Yes,4.4,66.0,1,47.0,9.7,Yes,No,High,Medium
Male,18,Public,Far,College,Medium,Yes,4.3,96.9,3,87.4,4.7,Yes,Yes,Medium,Medium
Female,16,Private,Near,None,Low,No,4.8,70.1,11,82.3,6.8,Yes,No,High,Medium
Female,15,Private,Moderate,High School,High,Yes,6.7,100.0,6,44.5,7.6,No,Yes,Medium,Medium
Female,15,Private,Near,High School,High,Yes,5.7,97.6,0,62.1,7.0,Yes,No,High,Medium
Female,18,Public,Near,College,Medium,Yes,6.0,70.4,0,59.3,7.5,Yes,No,Low,Low
Male,17,Public,Near,High School,Medium,No,6.0,80.2,7,79.2,6.1,Yes,No,Low,Medium
Male,16,Private,Moderate,College,High,Yes,6.8,89.0,9,49.6,,Yes,No,Low,Medium
Male,17,Public,Near,High School,High,No,5.6,89.4,0,66.5,6.8,Yes,Yes,Medium,Medium
Female,17,Private,Near,Postgraduate,High,Yes,5.7,85.3,8,57.7,5.6,Yes,No,Low,Medium
Male,17,Public,Near,Postgraduate,Medium,No,7.4,95.0,11,75.1,6.9,Yes,No,Medium,Medium
Male,15,Public,Near,College,High,Yes,3.7,78.5,14,64.7,6.5,No,No,Medium,Medium
Male,18,Private,Far,High School,Medium,Yes,3.3,75.6,7,60.0,6.4,Yes,No,Medium,Medium
Male,15,Private,Far,,Medium,Yes,2.6,75.8,8,64.8,7.4,No,Yes,Medium,Low
Female,18,Private,Near,None,Medium,Yes,5.4,90.3,0,98.5,4.8,Yes,Yes,Low,Medium
Female,16,Private,Moderate,High School,High,Yes,1.3,84.4,14,61.7,6.7,Yes,Yes,High,Medium
Male,16,Public,Far,College,Medium,No,5.9,83.5,4,52.4,9.8,Yes,Yes,Medium,Medium
Male,17,Private,Near,College,Medium,Yes,4.8,89.5,2,76.8,5.7,Yes,No,High,Medium
Male,18,Private,Far,Postgraduate,High,Yes,7.3,55.4,5,65.8,8.5,Yes,Yes,Medium,Medium
Male,18,Public,Far,High School,Medium,Yes,3.7,83.7,12,46.8,7.1,Yes,No,High,Medium
Male,18,Public,Near,College,High,Yes,4.6,82.6,15,100.0,6.3,No,Yes,Medium,Medium
Male,17,Public,Near,College,High,No,7.2,100.0,7,62.7,5.4,Yes,No,High,High
Male,17,Public,Far,College,Low,Yes,7.8,61.7,10,62.3,7.2,Yes,No,Low,Medium
Female,16,Private,Moderate,High School,High,No,3.6,98.7,6,70.4,8.7,Yes,Yes,High,Medium
Female,15,Public,Near,College,,No,5.4,80.9,2,94.0,6.5,Yes,No,High,High
Male,18,Public,Near,,High,Yes,5.6,85.9,12,42.8,6.9,Yes,No,Low,Low
Male,18,Public,Near,College,High,Yes,5.7,100.0,4,72.1,8.2,No,Yes,Medium,Medium
Female,15,Public,Moderate,Postgraduate,High,No,4.5,86.7,12,99.3,7.4,Yes,No,High,High
Male,18,Public,Moderate,High School,Low,Yes,7.6,84.8,11,69.9,5.1,Yes,Yes,Medium,Medium
Female,17,Public,Far,None,Medium,Yes,1.2,82.9,8,49.5,,No,Yes,Low,Low
Female,17,Private,Near,College,High,Yes,4.2,74.2,13,58.7,8.8,No,No,Medium,Medium
Male,18,Public,Moderate,College,Medium,Yes,5.9,79.7,15,71.1,7.0,No,Yes,Low,Low
Male,17,Public,Moderate,High School,Low,No,5.9,71.4,5,88.0,4.0,No,No,High,Medium
Female,17,Public,Near,College,High,Yes,7.7,79.5,3,62.9,7.5,No,Yes,Low,Medium
Male,18,Private,Near,Postgraduate,High,Yes,7.4,52.0,0,80.4,6.8,No,Yes,Low,Medium
Female,16,Public,Far,Postgraduate,Low,No,4.4,85.1,15,46.5,4.8,Yes,No,Medium,Medium
Female,15,Private,Far,High School,High,No,7.6,78.5,4,46.3,5.0,No,No,Medium,Medium
Female,17,Private,Moderate,Postgraduate,High,Yes,3.6,76.0,11,60.8,8.2,No,No,High,Medium
Male,16,Private,Moderate,College,Medium,No,6.9,82.6,3,89.6,6.1,No,Yes,Low,Medium
Female,17,Public,Near,College,High,Yes,8.6,62.8,12,69.0,5.9,No,No,Low,Low
Male,17,Private,Moderate,College,Medium,No,7.4,100.0,3,72.3,7.0,Yes,No,Medium,Medium
Female,15,Public,Moderate,College,Low,Yes,5.2,78.8,1,72.2,6.2,Yes,No,High,Medium
Female,17,Private,Moderate,College,Medium,Yes,4.3,78.2,5,84.6,7.1,No,No,Medium,Medium
Male,15,Public,Far,High School,Medium,Yes,1.9,68.4,4,58.8,6.8,Yes,No,Medium,Medium
Female,15,Public,Moderate,College,Medium,Yes,5.6,80.3,8,78.3,5.6,No,Yes,Medium,Medium
Female,15,Public,Near,College,High,No,2.8,96.6,6,55.5,6.4,Yes,Yes,Medium,Medium
Male,16,Public,Moderate,High School,High,Yes,3.4,92.4,9,97.7,7.5,No,Yes,Medium,Medium
Male,18,Private,Near,,Medium,No,2.6,90.3,5,56.0,7.1,No,No,Medium,Medium
Male,16,Public,Near,College,High,No,4.1,86.6,3,54.8,6.9,Yes,Yes,High,Medium
Male,18,Public,Near,College,Low,Yes,4.9,75.7,4,76.2,9.3,Yes,No,High,Medium
Male,18,Public,Near,None,Low,No,5.5,62.6,14,69.2,7.9,Yes,Yes,High,Medium
Female,15,Private,Moderate,College,High,Yes,3.8,77.6,7,72.9,8.0,No,No,Medium,Medium
Male,17,Private,Moderate,,Low,No,7.1,77.2,0,71.4,6.8,No,Yes,Medium,Medium
Male,15,Private,Moderate,None,Medium,Yes,4.6,92.6,4,51.6,7.3,Yes,No,Low,Medium
Female,17,Private,Moderate,College,High,Yes,3.4,83.7,6,92.2,6.5,Yes,Yes,High,Medium
Male,18,Public,Near,High School,Medium,Yes,5.5,99.3,13,81.4,7.9,No,No,Medium,Medium
Female,15,Public,Far,College,High,Yes,8.9,94.4,10,88.4,6.9,No,No,High,High
Male,17,Private,Near,None,Medium,Yes,5.7,74.5,2,60.1,7.3,Yes,No,Low,Medium
Male,16,Public,Near,High School,Low,Yes,4.3,58.5,16,74.2,7.2,Yes,Yes,High,Medium
Female,17,Public,Moderate,High School,Medium,No,1.9,96.6,6,71.0,7.0,No,Yes,Medium,Medium
Female,15,Public,Near,Postgraduate,Medium,Yes,4.6,96.3,11,84.9,10.0,Yes,No,Medium,Medium
Female,16,Public,Near,College,Medium,Yes,5.5,63.6,1,85.4,6.2,No,Yes,Medium,Medium
Female,17,Public,Moderate,College,Medium,Yes,4.2,98.1,0,70.9,6.2,Yes,Yes,High,Medium
Female,17,Private,Moderate,High School,High,Yes,1.7,84.6,0,45.2,7.8,No,No,High,Medium
Male,17,Public,Near,None,High,Yes,3.3,81.9,0,94.7,6.3,Yes,Yes,High,High
Male,17,Public,Far,Postgraduate,Medium,No,7.9,99.4,14,76.3,6.7,No,Yes,Low,Medium
Female,17,Public,Moderate,High School,Medium,No,7.9,96.1,7,58.9,5.7,Yes,No,High,Medium
Female,16,Private,Far,High School,Medium,Yes,3.2,87.8,2,74.1,7.6,Yes,Yes,Medium,Medium
Female,18,Public,Near,College,High,Yes,6.3,85.7,8,45.3,7.6,Yes,Yes,Medium,Medium
Male,16,Private,Moderate,None,High,Yes,2.6,87.4,7,83.8,6.6,No,No,Low,Low
Male,16,Private,Far,College,Medium,Yes,7.8,75.2,8,45.9,7.9,Yes,Yes,Low,Low
Female,16,Public,Moderate,College,High,Yes,5.5,79.3,11,64.7,4.8,Yes,No,Low,Low
Male,18,Private,Moderate,High School,Medium,No,6.9,69.2,5,71.7,6.2,Yes,Yes,High,Medium
Female,15,Private,Near,None,Low,Yes,1.6,76.0,2,83.6,6.8,Yes,No,Low,Low
Female,18,Private,Near,High School,Low,No,6.4,75.6,9,69.6,5.6,Yes,No,Low,Low
Male,16,Private,Moderate,Postgraduate,Medium,Yes,5.0,72.4,9,77.5,4.9,Yes,No,Medium,Medium
Female,17,Public,Near,College,Medium,Yes,6.7,81.6,6,67.6,6.6,No,Yes,Medium,Medium
Female,17,Public,Far,High School,Low,Yes,6.8,76.1,15,67.5,7.8,No,Yes,Low,Medium
Male,16,Public,Near,None,High,Yes,5.1,86.0,4,69.3,8.5,No,No,Low,Medium
Female,17,Public,Far,,Medium,Yes,3.8,60.5,2,65.2,6.3,No,Yes,Low,Low
Male,16,Private,Far,College,Medium,No,6.6,78.6,8,42.7,7.9,Yes,No,Medium,Medium
Female,17,Public,Near,High School,Medium,Yes,4.9,81.6,3,56.5,7.8,No,No,Low,Medium
Male,18,Private,Near,High School,Low,No,3.3,76.3,8,71.7,8.5,Yes,No,Medium,Medium
Female,15,Private,Far,High School,Medium,Yes,3.2,77.9,3,64.3,6.6,Yes,Yes,Low,Low
Male,15,Private,Far,College,Medium,Yes,2.0,61.0,4,65.7,4.8,Yes,Yes,Low,Low
Male,18,Private,Near,Postgraduate,Medium,Yes,4.0,84.3,14,63.1,7.1,Yes,No,Medium,Medium
Female,18,Public,Near,High School,Low,Yes,7.2,87.8,4,55.0,5.8,Yes,No,Low,Medium
Male,16,Public,Moderate,College,Medium,Yes,5.4,85.9,3,60.6,6.1,Yes,No,Low,Medium
Male,16,Public,Moderate,,Low,Yes,3.9,92.5,11,63.4,6.6,No,No,Medium,Medium
Female,16,Public,Near,High School,High,Yes,6.6,82.4,2,68.1,6.6,Yes,No,Medium,Medium
Female,17,Public,Moderate,High School,High,Yes,3.3,85.7,3,73.9,7.2,No,No,High,Medium
Female,16,Public,Near,College,Low,Yes,5.2,81.9,8,65.3,7.8,Yes,Yes,Low,Medium
Female,18,Private,Near,College,Medium,Yes,4.6,88.3,10,52.6,6.6,Yes,No,High,Medium
Male,15,Public,Near,College,Low,Yes,6.6,61.1,11,47.0,7.5,Yes,No,High,Medium
Male,17,Public,Near,High School,Medium,No,1.8,69.3,3,100.0,7.0,Yes,Yes,High,Medium
Male,16,Private,Near,High School,Medium,Yes,3.3,99.0,8,51.1,8.1,Yes,No,Medium,Medium
Female,17,Public,Moderate,None,Medium,No,1.7,50.5,4,60.2,6.8,No,Yes,High,Low
Female,17,Public,Near,College,Medium,Yes,4.5,78.3,4,75.8,6.9,No,No,Low,Medium
Female,16,Private,Near,High School,High,Yes,7.4,94.1,11,73.4,6.6,Yes,Yes,Low,Medium
Female,17,Public,Near,College,Medium,Yes,4.0,78.9,4,75.8,6.8,Yes,Yes,Low,Low
Male,15,Private,Far,High School,Medium,No,4.0,75.1,7,61.4,6.1,No,No,High,Medium
Male,18,Public,Near,High School,Medium,Yes,6.7,81.6,7,71.6,5.9,Yes,No,Medium,Medium
Male,18,Private,Near,College,High,No,7.1,75.8,2,68.9,7.9,Yes,No,High,Medium
Female,15,Public,Moderate,High School,High,Yes,4.8,80.4,10,63.3,5.7,Yes,Yes,Medium,Medium
Male,17,Public,Far,High School,Medium,Yes,6.4,71.8,8,71.7,6.6,No,No,High,Medium
Female,16,Public,Near,High School,High,Yes,2.8,93.3,0,83.8,8.2,No,Yes,High,Medium
Male,17,Private,Moderate,College,Medium,Yes,7.8,97.1,7,67.7,6.6,No,Yes,High,High
Male,15,Public,Moderate,College,,Yes,9.3,78.4,3,67.8,8.0,Yes,Yes,Medium,Medium
Male,17,Public,Moderate,High School,High,Yes,6.0,63.4,10,84.0,6.3,Yes,Yes,High,Medium
Female,18,Private,Near,College,Low,Yes,0.8,73.7,0,82.4,5.7,Yes,No,High,Medium
Female,17,Private,Moderate,High School,High,No,3.9,77.8,5,91.8,5.1,No,No,Medium,Medium
Male,15,Public,Near,High School,Medium,Yes,6.2,86.1,7,41.7,8.6,No,Yes,Medium,Medium
Male,18,Private,Moderate,None,Medium,No,4.2,67.9,6,81.6,5.6,Yes,No,High,Medium
Female,17,Public,Moderate,Postgraduate,Medium,Yes,7.5,70.8,9,77.0,7.9,Yes,Yes,Medium,Medium
Male,17,Public,Near,High School,High,Yes,6.2,86.1,0,54.7,5.8,Yes,No,High,Medium
Female,18,Public,Far,High School,Medium,No,3.6,91.3,13,71.8,8.6,Yes,No,Low,Low
Female,16,Private,Near,High School,Low,No,5.1,72.5,8,83.8,9.6,Yes,Yes,Medium,Medium
Male,18,Private,Far,High School,High,No,3.2,64.0,11,55.6,5.0,Yes,No,Low,Low
Male,16,Public,Moderate,College,Low,Yes,4.6,100.0,9,74.6,5.7,No,Yes,Medium,Medium
Female,15,Public,Near,None,Low,Yes,3.9,89.4,6,81.1,7.9,Yes,No,Medium,Medium
Male,15,Public,Near,High School,Medium,Yes,7.3,76.8,1,51.9,7.6,Yes,Yes,High,Medium
Male,18,Private,Far,College,Medium,Yes,9.2,90.4,4,65.9,7.9,Yes,No,Low,Medium
Female,18,Private,Near,High School,Medium,Yes,2.1,78.5,12,72.5,6.3,Yes,No,High,Medium
Female,15,Public,Near,College,Low,No,1.2,90.4,12,56.1,9.4,Yes,Yes,High,Low
Female,16,Private,Near,College,High,No,4.5,81.9,4,54.8,7.1,No,Yes,Medium,Medium
Female,15,Private,Moderate,High School,High,Yes,2.0,81.1,0,66.0,5.5,Yes,No,Low,Low
Male,18,Public,Moderate,College,Medium,Yes,5.1,78.6,5,80.0,6.7,No,Yes,Low,Medium
Male,15,Public,Near,High School,Medium,No,6.5,62.6,5,77.7,5.6,Yes,Yes,Medium,Medium
Female,18,Public,Near,College,Medium,Yes,8.0,100.0,5,55.1,8.9,Yes,No,Low,Medium
Female,18,Private,Near,High School,Medium,Yes,5.4,68.7,8,77.8,6.2,Yes,No,Medium,Medium
Male,15,Private,Near,High School,Low,Yes,4.6,63.7,10,55.5,7.6,No,Yes,High,Medium
Female,16,Public,Near,College,Low,Yes,1.0,77.4,10,43.8,,Yes,Yes,Low,Low
Male,17,Private,Moderate,Postgraduate,High,No,5.1,68.5,8,62.5,6.3,Yes,No,Medium,Medium
Male,15,Public,Near,Postgraduate,Medium,Yes,5.1,79.4,0,84.8,4.7,Yes,Yes,High,High
Male,17,Public,Near,College,,Yes,6.3,88.3,5,77.8,7.7,No,No,High,High
Male,15,Private,Near,,High,Yes,3.6,91.9,15,68.0,8.6,Yes,No,High,Medium
Male,17,Private,Far,High School,High,No,4.1,89.8,7,61.7,5.9,Yes,No,High,Medium
Male,16,Public,Far,High School,Medium,No,2.0,76.3,7,62.2,5.1,Yes,Yes,Medium,Medium
Male,16,Public,Far,College,High,Yes,0.4,80.6,7,69.6,,Yes,Yes,High,Medium
Female,15,Public,Near,High School,Low,Yes,2.8,84.9,8,52.0,5.0,Yes,Yes,High,Medium
Female,18,Public,Near,Postgraduate,High,Yes,1.9,58.9,0,62.8,8.5,Yes,No,Medium,Medium
Female,17,Public,Near,High School,Medium,Yes,5.7,86.8,5,64.8,5.9,No,No,Medium,Medium
Female,18,Public,Near,High School,High,Yes,4.0,62.5,6,47.7,5.7,Yes,Yes,Medium,Medium
Male,18,Private,Moderate,High School,High,Yes,3.9,100.0,11,55.4,7.3,No,No,Medium,Medium
Male,18,Public,Moderate,College,High,Yes,3.0,75.1,6,74.2,5.8,No,No,Low,Medium
Female,16,Private,Far,College,High,Yes,0.0,77.8,0,68.1,6.2,Yes,Yes,Medium,Medium
Male,15,Private,Far,College,Medium,Yes,8.0,70.8,8,63.4,7.4,No,Yes,Medium,Medium
Female,15,Public,Near,High School,Medium,No,3.0,72.4,3,54.3,4.1,No,Yes,Medium,Medium
Male,16,Public,Moderate,College,Medium,Yes,4.2,100.0,1,91.7,9.0,No,No,Low,Medium
Female,16,Private,Near,None,High,Yes,2.1,91.3,3,55.4,7.1,No,No,High,Medium
Male,15,Public,Near,Postgraduate,High,No,6.9,61.4,8,71.8,5.4,No,No,Low,Medium
Female,18,Private,Moderate,College,Medium,Yes,5.3,98.1,11,60.7,5.8,Yes,Yes,Low,Low
Female,17,Private,Near,High School,High,Yes,3.3,94.3,8,68.5,8.2,No,Yes,Medium,Medium
Female,17,Private,Near,College,High,Yes,4.2,76.6,9,74.9,7.7,Yes,No,Medium,Medium
Male,17,Private,Near,College,High,Yes,8.4,83.7,8,47.4,8.7,No,No,Low,Medium
Female,18,Public,Moderate,None,High,Yes,4.9,79.8,6,67.9,6.2,Yes,No,Medium,Medium
Female,15,Public,Moderate,Postgraduate,Medium,Yes,4.6,100.0,9,85.9,7.4,No,No,High,High
Female,16,Public,Near,High School,Low,No,3.1,70.4,0,94.4,7.5,Yes,No,Medium,Medium
Female,15,Public,Far,High School,Low,Yes,1.2,81.8,6,66.0,,No,Yes,Medium,Medium
Female,18,Public,Near,High School,Medium,Yes,4.7,74.9,2,68.6,8.4,No,No,Low,Medium
Male,16,Public,Near,High School,Medium,Yes,5.7,62.8,11,100.0,6.1,No,No,Medium,Medium
Female,18,Private,Moderate,College,High,Yes,7.2,100.0,5,85.0,6.9,No,Yes,High,High
Female,17,Public,Moderate,High School,High,Yes,0.5,65.8,6,58.7,6.3,Yes,No,Medium,Medium
Female,17,Public,Far,College,Medium,Yes,2.7,82.6,0,58.7,6.9,No,Yes,High,Medium
Male,18,Public,Near,High School,Low,Yes,3.8,59.1,10,82.3,7.8,No,No,Medium,Medium
Male,16,Public,Moderate,Postgraduate,Low,Yes,5.0,75.2,9,52.8,5.0,No,No,High,Medium
Female,16,Public,Moderate,College,Low,No,4.7,85.1,8,84.3,8.3,No,No,High,Medium
Female,15,Public,Far,College,Medium,Yes,4.8,70.1,3,73.0,5.6,Yes,No,High,Medium
Male,17,Public,Near,High School,Medium,No,5.8,87.0,3,75.8,6.6,Yes,Yes,High,Medium
Female,15,Public,Moderate,High School,Low,Yes,3.2,76.8,7,64.1,8.5,Yes,No,Medium,Medium
Male,15,Private,Moderate,High School,Medium,Yes,6.9,93.9,3,58.6,7.4,No,Yes,High,Medium
Male,18,Private,Near,College,Low,No,5.9,96.3,8,89.9,7.4,Yes,No,Medium,Medium
Male,18,Private,Moderate,Postgraduate,Medium,Yes,4.4,73.0,0,64.3,,No,Yes,High,Medium
Male,15,Public,Near,None,Medium,Yes,8.2,80.9,4,61.8,5.7,Yes,No,Low,Medium
Female,17,Private,Moderate,None,Medium,Yes,8.1,82.2,13,66.8,8.1,No,Yes,Medium,Medium
Male,18,Private,Far,Postgraduate,Medium,Yes,6.9,87.4,8,70.9,6.3,No,Yes,High,High
Female,15,Public,Moderate,High School,High,Yes,0.0,80.2,7,52.5,6.4,Yes,Yes,Low,Low
Female,15,Private,Moderate,College,Medium,No,8.2,82.3,14,59.5,8.2,No,No,Medium,Medium
Female,15,Public,Moderate,College,Medium,Yes,6.6,77.1,0,58.7,5.7,No,Yes,High,Medium
Female,15,Private,Near,College,High,No,9.0,81.4,3,80.7,7.3,Yes,Yes,Medium,Medium
Male,15,Private,Near,High School,Medium,Yes,7.5,95.6,4,54.7,7.1,Yes,Yes,Medium,Medium
Female,15,Public,Moderate,High School,High,Yes,8.2,87.8,9,41.7,7.0,Yes,Yes,Medium,Medium
Female,18,Private,Near,College,Medium,Yes,6.8,88.4,10,38.5,6.4,No,Yes,Medium,Medium
Male,17,Public,Near,Postgraduate,Medium,No,7.7,88.7,3,45.9,6.3,Yes,No,Low,Medium
Female,15,Private,Moderate,High School,Low,No,9.0,78.2,10,88.4,5.7,Yes,Yes,Low,Medium
Female,16,Public,Near,High School,Medium,Yes,5.4,83.8,4,68.2,7.6,Yes,No,Low,Medium
Female,18,Private,Near,College,Medium,Yes,1.9,67.0,11,75.5,6.2,Yes,Yes,Medium,Low
Female,18,Public,Moderate,Postgraduate,Low,Yes,4.4,95.2,2,76.0,8.2,No,No,Low,Medium
Female,15,Public,Near,College,Medium,Yes,5.8,46.6,6,68.8,6.7,No,No,High,Medium
Male,18,Public,Far,Postgraduate,Medium,Yes,5.1,79.0,4,66.9,5.7,Yes,Yes,Medium,Medium
Female,15,Private,Far,None,Low,No,2.5,93.7,10,83.7,6.7,No,Yes,High,Medium
Female,17,Private,Moderate,High School,High,Yes,1.7,63.6,4,70.2,6.5,No,Yes,Low,Low
Male,17,Private,Near,College,Medium,Yes,3.5,84.8,6,89.0,8.2,Yes,Yes,Medium,Medium
Male,18,Private,Moderate,College,Low,Yes,6.6,71.8,8,77.3,6.6,Yes,No,Medium,Medium
Male,18,Public,Far,High School,Medium,Yes,8.2,75.6,8,58.7,,No,No,High,Medium
Female,16,Public,Moderate,High School,High,Yes,6.8,91.4,10,60.5,8.7,No,No,High,High
Female,18,Public,Near,College,Medium,Yes,7.1,82.4,7,57.1,7.6,No,Yes,High,Medium
Male,16,Public,Moderate,None,Medium,No,4.8,55.6,4,86.3,9.0,Yes,Yes,Low,Low
Female,17,Public,Far,High School,Medium,Yes,1.5,68.3,5,61.9,8.5,No,Yes,High,Medium
Male,17,Public,Moderate,College,Medium,Yes,4.1,91.7,6,56.0,5.9,No,No,Medium,Medium
Female,15,Public,Moderate,College,High,Yes,4.5,85.4,7,72.8,8.2,No,No,High,Medium
Female,17,Public,Moderate,College,High,Yes,4.0,100.0,5,66.5,8.8,No,Yes,Medium,Medium
Female,16,Public,Moderate,High School,Low,Yes,5.1,100.0,6,72.4,8.8,No,No,Medium,Medium
Male,18,Public,Near,College,Medium,No,5.9,75.9,0,96.3,8.2,No,Yes,Low,Medium
Male,15,Private,Moderate,College,High,Yes,6.7,100.0,9,81.7,8.2,Yes,No,Medium,Medium
Male,16,Private,Near,College,Low,No,4.4,80.3,7,68.4,6.6,No,Yes,Medium,Medium
Male,18,Private,Near,College,High,Yes,1.2,68.4,10,46.9,6.0,Yes,No,Low,Low
Female,15,Public,Near,High School,High,Yes,4.0,72.4,6,60.5,6.6,No,Yes,Low,Low
Female,17,Public,Moderate,None,Low,No,5.1,52.9,0,78.7,5.0,Yes,No,High,Medium
Female,16,Private,Near,High School,High,Yes,7.4,99.3,5,50.4,8.6,No,Yes,Medium,Medium
Female,18,Public,Moderate,High School,Medium,No,3.9,99.1,5,100.0,6.7,Yes,Yes,High,High
